,rarr,MIx_y,MIy_x,Tx_y,Ty_x,Tx_y_star,Ty_x_star,Tx_y_star2,Ty_x_star2
0,0.01,1.0069910563547635,1.0223166984797756,4.141544691086416,3.792502230404631,1.2959774688903554,1.306804495078499,0.2590827476459994,0.2156344554874418
1,0.02,0.5004587639047536,0.5131913528588394,2.7480893395114765,1.9749989629847016,1.9392667645006187,1.9444927463854362,0.3897744037883975,0.517469940867972
2,0.03,0.3492538477599315,0.3597636190003894,1.9025005889882005,1.1481176749625934,1.9226935769493139,1.9216002475302671,0.5945545539539929,0.8903293633124529
3,0.04,0.24780482884680388,0.26053137374609514,1.3925263731011057,0.7821970779057896,1.673454154139292,1.664824036598059,0.7810800110207116,1.1295778511908816
4,0.05,0.21742552960199246,0.22898179218177547,1.0714165718123958,0.5684051489574421,1.3800669395273093,1.3713573746361527,0.8869901553425376,1.2012549437455897
5,0.1,0.15982616213902912,0.17111487018544308,0.4604965014926207,0.2641811734790991,0.5414785058993419,0.5365797355266612,0.7061348948284574,0.7087229183314294
6,0.2,0.1310033736429436,0.14230943130644666,0.2341005142200337,0.18243760944684098,0.20189248724723585,0.2038448996322933,0.27290721314647026,0.26466223235192976
7,0.3,0.12075026043604481,0.13355506283999946,0.18354747893143902,0.179698783470832,0.16195886583468513,0.16286670926213,0.17759785412009046,0.1664528749604075
8,0.4,0.11817685514108044,0.1322892881503489,0.1655431907873903,0.1883222843635742,0.16002991241025752,0.15774785510964764,0.15186489914434192,0.13083768108198965
9,0.5,0.10842633108029402,0.12500232663862146,0.1678382284633533,0.19828046118409484,0.16441679259635056,0.16268121729819657,0.1465432636516727,0.12163875134144428
10,1.0,0.11201660410604163,0.12600288133180926,0.16300017366174913,0.19820970778237432,0.1689839883536836,0.16787192685453298,0.14165687252026576,0.1301528676620871
